Address,Total Staked SYNR,Average Staked SYNR,SYNR Passes As SYNR Equivalent,Free Farms,Guaranteed Whitelists Turf,Guaranteed Whitelist Farms,Entry to Raffle for Guaranteed Whitelist Farm
0x81e970671207196A3Cd7CDc53e3Ffc6dDA245f86,196072,196072,0,0,0,1,0
0x62F3ef881A51184c5E21Ea195aA9fFbB3e55f078,194958,194958,0,0,0,1,0
0xF6C9692A490BAf4b4dfa9BD1c9fc4438c38b5321,12146,12146,1,1,0,0,1
0xD2fB4a17fBF9016258EbFF090BcE3f9B6eB49116,191179,191179,0,0,0,1,0
0x777d92Fcb83Ca9131B05ce579D9A951019c4Ca5c,10480,10480,1,1,0,0,1
0x71039d40ad2123b23FDFfe56453E903a515E5ac5,8933,8933,1,1,0,0,0
0x456Bc9ef9b60b6EB5A75f6F1AD6F9b1af5478C30,188726,188726,0,0,0,1,0
0x38671F9A37bD37EA52aD63182D3Ff6a64e2692D6,8355,8355,1,1,0,0,0
0x38FbDBbc8A757d2a4Fb245B51f51256fDeC911F0,188256,188256,0,0,0,1,0
0x5b66BaCeE03C04e8a4afA353995709e3aeBbcbFc,187695,187695,0,0,0,1,0
0x8Fc87c199203332c1cc43430b9FaD2B1868E44D0,5249,5249,1,1,0,0,0
0x3F6D62DA04f6B3F3fc0dDeFeB17543fAc278e383,5238,5238,1,1,0,0,0
0x59278BEBaDE8984f8B9d7092aA6455d791064b4b,185100,185100,0,0,0,1,0
0xcAF86e1a476cB582493529Caa4beb39c319018F1,184888,184888,0,0,0,1,0
0xc6579d77928EcF0462142D1E4D959B95aa0852eA,184882,184882,0,0,0,1,0
0x3655810F2eD910Cb72401B00261C33Fc2FD19B21,182285,182285,0,0,0,1,0
0x728F1973c71f7567dE2a34Fa2838D4F0FB7f9765,964,964,1,1,0,0,0
0xF79765D064B86648C7C01F55f9eCB5ec5D3A7d4b,800,800,1,1,0,0,0
0x1fDbFfD0d8e237E64E68A904c2a6F447a1aD5C90,0,0,1,1,0,0,0
0x6707b67dA257d77DDAe75D24476436e608E45c09,0,0,1,1,0,0,0
0xe481BD03D8fAF78cc18bDD0118073007EED82f67,0,0,1,1,0,0,0
0x3De6A9B46E4840F5D235626CF07fE48a7e044fB0,0,0,1,1,0,0,0
0x2EFEEb8D5Df533565a44F1A1ACf12Cd5B46196CF,0,0,1,1,0,0,0
0x3dC7F8850CbfE558eeE8442d553fdE8eb49DcF5D,0,0,1,1,0,0,0
0xa728ba7C90AFC95423aA00bb9bbcBe68fd80be5d,0,0,1,1,0,0,0
0xf5Fc69ECd8DdaAba72B73830b02592200bB78918,0,0,1,1,0,0,0
0x5d73eEe7E0d8C955F9d442B12d463B4c5B8e7dC3,0,0,1,1,0,0,0
0x77Ed421D98BF2fe6542Ae6EEeD341B759C6E764a,0,0,1,1,0,0,0
0xe1645f135525ba04C90235718b4C33c995253e16,0,0,1,1,0,0,0
0x4Ed78BC2FCFF4441dAb71fc8aAB65FF94D18dB15,0,0,1,1,0,0,0
0xf02aaeA623E7C0AC779D68d734BEd438e67775Eb,0,0,1,1,0,0,0
0x245Ca790317489C2252F63b95Dab698C7955a9A3,0,0,1,1,0,0,0
0xDCC9F7368EE6636FC2f7A02b713072D75474D9E6,0,0,1,1,0,0,0
0xf1439E1D1EfB1a90983a6Ae306cE42B6921e093b,0,0,1,1,0,0,0
0x5C4e877b3f410d4c505be0D8D3d77cC34cEae548,0,0,1,1,0,0,0
0x7BC6230B10824e28c57aE71fC98d80A4988F11a6,0,0,1,1,0,0,0
0x78834B429d868108d8f9b4dB9B0348EF2BC23257,0,0,1,1,0,0,0
0x5D20e6c0DB887B5c3281EdfCe5BB7677565e2B8f,0,0,1,1,0,0,0
0xA6A88909c58640deBDf86FdC7179A25e036378b3,0,0,1,1,0,0,0
0xC4f2C31F364423c3BFfd766c9B320f5eC64da64e,0,0,1,1,0,0,0
0x43Ec5640E18F7384761d8817AA55d38C9a03D855,0,0,1,1,0,0,0
0xeFfeC91cF9CEd27dF6dD9eBC9D465E5D14db2618,0,0,1,1,0,0,0
0x3164ed5B9D37Ac9619aC5895CA33F308aB02a053,0,0,1,1,0,0,0
0x310115b783a94C6Fc371Ed03eB7d3fe15b1D02e2,0,0,1,1,0,0,0
0x8F42E67db71a3542E4398b138C5CE8Aaad694aD6,0,0,1,1,0,0,0
0xD5c69ecCc7d8e0c124c205328cC6CEC584b4E15A,0,0,1,1,0,0,0
0x7aDBee9c890eb294A816a0aAc5507cc1DEF53598,0,0,1,1,0,0,0
0xcAC3dce2CaB052B903dA719F99Ed182bf7A22fDb,0,0,1,1,0,0,0
0x1c16BE3c5D62842D950eFA6675214aEca45ABb1f,0,0,1,1,0,0,0
0x3d78BDB36f63aFA32973bF19F5c689bEA9627F03,0,0,1,1,0,0,0
0x9c709C02b87072C8599c5416617FD259D334EEf2,0,0,1,1,0,0,0
0x1643635228eda7c2c82F05B520FE755EabAed547,0,0,1,1,0,0,0
0x935002727A6EBBcaf01a0039DB0e6B1f9C175f0b,0,0,1,1,0,0,0
0x556501B3A439f105f14ddeb5D96a892f9E3502CC,0,0,1,1,0,0,0
0x3500e121e102C88cE7cb92dd4A8B074CCF704560,0,0,1,1,0,0,0
0x1e57EBeA7b301877B925551dB9c2eB2917537681,0,0,1,1,0,0,0
0xd853eb73b3657CbCD32438289F2C89A4b487FDda,0,0,1,1,0,0,0
0x5b49F719262FFf473628E2223971a0Ba2cafa62a,0,0,1,1,0,0,0
0x502a4beC9AEb8Afa10408FcCb89361FB206DaB78,0,0,1,1,0,0,0
0x682955aC3cc48433060e40200E214Bdca6b40Dd4,0,0,1,1,0,0,0
0xC7DcfC4873f4DA211da8C255c9F1d2B18713845F,0,0,1,1,0,0,0
0xd88DFEa2ddB0d73C23A3710bCb572fe58589eC76,0,0,1,1,0,0,0
0xac905fd0B601bEb21E1cDDc9d6Aea64Bebce855a,0,0,1,1,0,0,0
0x750554C8CD238765FCDe9467E33E6e6d595265F2,0,0,1,1,0,0,0
